network_size,edge_count,run,total_flooding_iterations,max_lsa_iterations,lsdb_synchronized
4,6,1,8,2,true
4,6,2,8,2,true
4,6,3,8,2,true
4,6,4,8,2,true
4,6,5,8,2,true
8,12,1,28,4,true
8,12,2,29,4,true
8,12,3,32,4,true
8,12,4,29,4,true
8,12,5,32,5,true
12,18,1,54,5,true
12,18,2,52,5,true
12,18,3,51,5,true
12,18,4,52,5,true
12,18,5,54,5,true
16,24,1,80,6,true
16,24,2,77,6,true
16,24,3,75,6,true
16,24,4,83,6,true
16,24,5,73,5,true
20,30,1,110,6,true
20,30,2,112,6,true
20,30,3,112,6,true
20,30,4,115,7,true
20,30,5,114,7,true
24,36,1,138,7,true
24,36,2,140,7,true
24,36,3,136,7,true
24,36,4,157,8,true
24,36,5,147,8,true
28,42,1,178,8,true
28,42,2,167,7,true
28,42,3,166,7,true
28,42,4,182,8,true
28,42,5,180,7,true
32,48,1,197,7,true
32,48,2,228,9,true
32,48,3,196,7,true
32,48,4,192,7,true
32,48,5,195,7,true
36,54,1,221,7,true
36,54,2,222,7,true
36,54,3,235,8,true
36,54,4,256,9,true
36,54,5,247,8,true
40,60,1,277,8,true
40,60,2,258,8,true
40,60,3,268,8,true
40,60,4,251,7,true
40,60,5,268,8,true
44,66,1,314,9,true
44,66,2,306,8,true
44,66,3,328,9,true
44,66,4,322,8,true
44,66,5,294,8,true
48,72,1,327,8,true
48,72,2,330,8,true
48,72,3,362,9,true
48,72,4,344,9,true
48,72,5,330,8,true
52,78,1,385,9,true
52,78,2,406,10,true
52,78,3,360,8,true
52,78,4,360,8,true
52,78,5,415,10,true
56,84,1,418,9,true
56,84,2,413,9,true
56,84,3,414,9,true
56,84,4,418,9,true
56,84,5,417,9,true
60,90,1,437,9,true
60,90,2,463,10,true
60,90,3,504,10,true
60,90,4,449,9,true
60,90,5,492,10,true
64,96,1,499,10,true
64,96,2,504,9,true
64,96,3,487,9,true
64,96,4,510,10,true
64,96,5,482,9,true
