network_size,edge_count,run,spf_runs,total_time_us,avg_time_us,checksum
4,6,1,4,47,11.75,154
4,6,2,4,17,4.25,74
4,6,3,4,16,4,163
4,6,4,4,14,3.5,172
4,6,5,4,16,4,86
8,12,1,8,77,9.625,890
8,12,2,8,78,9.75,668
8,12,3,8,93,11.625,897
8,12,4,8,69,8.625,1114
8,12,5,8,54,6.75,1172
12,18,1,12,186,15.5,3426
12,18,2,12,228,19,3381
12,18,3,12,181,15.0833,3609
12,18,4,12,178,14.8333,4163
12,18,5,12,210,17.5,3090
16,24,1,16,297,18.5625,8714
16,24,2,16,316,19.75,5813
16,24,3,16,200,12.5,7579
16,24,4,16,183,11.4375,7348
16,24,5,16,189,11.8125,8129
20,30,1,20,242,12.1,12314
20,30,2,20,260,13,9665
20,30,3,20,244,12.2,12974
20,30,4,20,237,11.85,13619
20,30,5,20,229,11.45,14420
24,36,1,24,310,12.9167,22893
24,36,2,24,297,12.375,21784
24,36,3,24,325,13.5417,23425
24,36,4,24,319,13.2917,20626
24,36,5,24,316,13.1667,17790
28,42,1,28,447,15.9643,28303
28,42,2,28,482,17.2143,33309
28,42,3,28,475,16.9643,29266
28,42,4,28,476,17,36910
28,42,5,28,537,19.1786,33369
32,48,1,32,759,23.7188,49719
32,48,2,32,978,30.5625,44604
32,48,3,32,726,22.6875,38125
32,48,4,32,815,25.4688,43300
32,48,5,32,1037,32.4062,48804
36,54,1,36,1211,33.6389,65763
36,54,2,36,807,22.4167,63035
36,54,3,36,724,20.1111,58237
36,54,4,36,714,19.8333,64804
36,54,5,36,765,21.25,56849
40,60,1,40,1042,26.05,71305
40,60,2,40,982,24.55,76292
40,60,3,40,1307,32.675,78988
40,60,4,40,1476,36.9,74348
40,60,5,40,1191,29.775,77433
44,66,1,44,1039,23.6136,94277
44,66,2,44,1042,23.6818,109629
44,66,3,44,1162,26.4091,103191
44,66,4,44,1089,24.75,101653
44,66,5,44,1095,24.8864,103861
48,72,1,48,2079,43.3125,115795
48,72,2,48,2148,44.75,143967
48,72,3,48,2394,49.875,127845
48,72,4,48,1879,39.1458,136571
48,72,5,48,2062,42.9583,133885
52,78,1,52,3860,74.2308,169311
52,78,2,52,1816,34.9231,160598
52,78,3,52,1500,28.8462,159664
52,78,4,52,1654,31.8077,164472
52,78,5,52,1415,27.2115,168247
56,84,1,56,2033,36.3036,210780
56,84,2,56,2264,40.4286,191196
56,84,3,56,2827,50.4821,186998
56,84,4,56,1904,34,200842
56,84,5,56,1742,31.1071,192441
60,90,1,60,2471,41.1833,259309
60,90,2,60,3382,56.3667,249142
60,90,3,60,2601,43.35,245005
60,90,4,60,2090,34.8333,225294
60,90,5,60,2271,37.85,240657
64,96,1,64,3523,55.0469,263346
64,96,2,64,2639,41.2344,280368
64,96,3,64,2567,40.1094,282405
64,96,4,64,2631,41.1094,299396
64,96,5,64,4584,71.625,263760
